date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:28	3023/3023	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/diagnostics.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/diagnostics.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:28	3109/3109	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/cardiology.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/cardiology.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:29	2945/2945	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/dental.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/dental.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:29	3083/3083	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/ophtalmology.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/ophtalmology.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:29	3057/3057	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/pulmonary.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/pulmonary.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:29	3041/3041	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/urology.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/urology.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:30	2912/2912	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/gastroenterology.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/gastroenterology.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:30	2463/2463	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/icons/laboratory.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/laboratory.png	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:32	259555/259555	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/about-us-person.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/about-us-person.jpg	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:33	64023/64023	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/png-shapes/ornament__right-bottom.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/png-shapes/ornament__right-bottom.png	(from https://ibnsino.getmytemplate.com/index2.html)
